,date,In DATE: The firefighter had to rescue the child from the burning building because he could not just stand by and do nothing.
0,1901,97.9
1,1904,98.0
2,1908,98.4
3,1912,98.7
4,1916,98.6
5,1920,98.2
6,1924,98.4
7,1928,98.3
8,1932,98.6
9,1936,98.7
10,1940,98.5
11,1944,98.5
12,1948,98.2
13,1952,98.4
14,1956,98.4
15,1960,98.1
16,1964,98.4
17,1968,98.1
18,1972,98.1
19,1976,98.0
20,1980,97.8
21,1984,98.0
22,1988,97.3
23,1992,97.5
24,1996,97.3
25,2000,96.6
26,2004,97.1
27,2008,95.6
28,2012,95.4
29,2016,93.5
