,date,In DATE: The firefighter had to rescue the man from the burning building because he could not just stand by and do nothing.
0,1901,99.0
1,1904,99.2
2,1908,99.3
3,1912,99.3
4,1916,99.4
5,1920,99.1
6,1924,99.2
7,1928,99.2
8,1932,99.3
9,1936,99.4
10,1940,99.3
11,1944,99.3
12,1948,99.2
13,1952,99.3
14,1956,99.3
15,1960,99.1
16,1964,99.3
17,1968,99.2
18,1972,99.3
19,1976,99.2
20,1980,99.2
21,1984,99.2
22,1988,99.0
23,1992,99.1
24,1996,98.9
25,2000,98.8
26,2004,99.0
27,2008,98.4
28,2012,98.3
29,2016,97.3
