,date,In DATE: The firefighter had to rescue someone from the burning building because he could not just stand by and do nothing.
0,1901,99.1
1,1904,100.0
2,1908,99.1
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,99.1
7,1928,99.2
8,1932,99.3
9,1936,100.0
10,1940,99.2
11,1944,99.2
12,1948,99.1
13,1952,99.2
14,1956,99.4
15,1960,99.1
16,1964,99.2
17,1968,99.1
18,1972,99.2
19,1976,99.1
20,1980,99.1
21,1984,99.1
22,1988,99.0
23,1992,99.0
24,1996,99.0
25,2000,98.7
26,2004,98.9
27,2008,98.5
28,2012,98.4
29,2016,97.7
