,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,71.8
1,1904,75.0
2,1908,74.1
3,1912,77.9
4,1916,80.2
5,1920,76.2
6,1924,74.6
7,1928,74.5
8,1932,74.9
9,1936,75.7
10,1940,71.8
11,1944,71.1
12,1948,69.4
13,1952,71.0
14,1956,73.0
15,1960,71.0
16,1964,72.1
17,1968,68.8
18,1972,70.6
19,1976,68.9
20,1980,65.9
21,1984,65.7
22,1988,61.9
23,1992,62.3
24,1996,61.2
25,2000,58.2
26,2004,57.4
27,2008,53.5
28,2012,51.1
29,2016,46.4
