,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,90.1
1,1904,91.2
2,1908,91.4
3,1912,93.5
4,1916,93.8
5,1920,93.0
6,1924,91.7
7,1928,92.4
8,1932,92.0
9,1936,92.5
10,1940,90.9
11,1944,89.8
12,1948,89.3
13,1952,90.6
14,1956,91.5
15,1960,90.7
16,1964,91.0
17,1968,90.0
18,1972,91.4
19,1976,89.9
20,1980,89.5
21,1984,90.2
22,1988,87.8
23,1992,87.3
24,1996,87.5
25,2000,85.2
26,2004,85.2
27,2008,83.3
28,2012,80.8
29,2016,76.2
