,date,"In DATE: The janitor warned the woman not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,46.6
1,1904,46.9
2,1908,45.8
3,1912,48.1
4,1916,49.5
5,1920,47.1
6,1924,45.2
7,1928,47.6
8,1932,46.7
9,1936,47.4
10,1940,43.0
11,1944,43.9
12,1948,43.3
13,1952,44.6
14,1956,46.6
15,1960,43.0
16,1964,43.3
17,1968,44.5
18,1972,43.4
19,1976,43.2
20,1980,40.8
21,1984,42.0
22,1988,39.5
23,1992,39.6
24,1996,40.2
25,2000,38.3
26,2004,35.9
27,2008,35.5
28,2012,35.1
29,2016,33.6
