,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,86.9
1,1904,87.7
2,1908,87.3
3,1912,89.8
4,1916,90.4
5,1920,88.4
6,1924,88.4
7,1928,87.5
8,1932,89.7
9,1936,87.5
10,1940,84.8
11,1944,83.7
12,1948,84.5
13,1952,83.5
14,1956,85.5
15,1960,85.4
16,1964,86.6
17,1968,83.5
18,1972,84.8
19,1976,82.9
20,1980,81.4
21,1984,81.3
22,1988,79.8
23,1992,78.3
24,1996,78.1
25,2000,74.3
26,2004,75.4
27,2008,72.2
28,2012,69.9
29,2016,65.1
