,date,In DATE: The nutritionist explained to the patient that it was his belief that diet and exercise were equally important.
0,1901,89.6
1,1904,89.5
2,1908,88.5
3,1912,90.2
4,1916,89.6
5,1920,89.9
6,1924,86.9
7,1928,88.0
8,1932,87.6
9,1936,88.5
10,1940,85.7
11,1944,83.7
12,1948,85.7
13,1952,85.8
14,1956,85.0
15,1960,83.8
16,1964,82.9
17,1968,81.1
18,1972,80.0
19,1976,80.7
20,1980,78.1
21,1984,80.4
22,1988,74.4
23,1992,74.6
24,1996,73.1
25,2000,70.1
26,2004,69.4
27,2008,65.2
28,2012,62.9
29,2016,57.6
