,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.
0,1901,89.8
1,1904,89.5
2,1908,89.2
3,1912,90.7
4,1916,91.6
5,1920,90.6
6,1924,90.4
7,1928,91.0
8,1932,90.6
9,1936,90.7
10,1940,87.9
11,1944,88.9
12,1948,88.8
13,1952,88.9
14,1956,88.7
15,1960,86.7
16,1964,87.7
17,1968,87.5
18,1972,86.5
19,1976,86.4
20,1980,84.2
21,1984,86.7
22,1988,84.2
23,1992,83.3
24,1996,81.6
25,2000,79.0
26,2004,78.6
27,2008,73.9
28,2012,68.4
29,2016,60.7
