,date,In DATE: The nutritionist explained to someone that it was his belief that diet and exercise were equally important.
0,1901,92.6
1,1904,93.3
2,1908,91.9
3,1912,93.5
4,1916,92.7
5,1920,92.2
6,1924,91.3
7,1928,91.3
8,1932,92.0
9,1936,92.3
10,1940,89.7
11,1944,88.5
12,1948,89.3
13,1952,89.5
14,1956,89.6
15,1960,87.7
16,1964,87.5
17,1968,85.3
18,1972,84.5
19,1976,85.1
20,1980,83.4
21,1984,85.6
22,1988,80.6
23,1992,79.2
24,1996,79.3
25,2000,75.1
26,2004,75.5
27,2008,72.2
28,2012,69.1
29,2016,63.5
