,date,In DATE: The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.
0,1901,54.7
1,1904,55.8
2,1908,54.0
3,1912,55.7
4,1916,56.9
5,1920,55.4
6,1924,53.9
7,1928,54.0
8,1932,53.8
9,1936,54.1
10,1940,52.9
11,1944,54.4
12,1948,52.6
13,1952,52.3
14,1956,53.6
15,1960,53.1
16,1964,52.7
17,1968,52.6
18,1972,51.8
19,1976,51.2
20,1980,51.7
21,1984,52.2
22,1988,50.7
23,1992,50.7
24,1996,50.4
25,2000,50.7
26,2004,50.2
27,2008,49.5
28,2012,48.3
29,2016,46.2
