,date,In DATE: The chemist told the visitor that MASK would need to put on safety glasses before entering the laboratory.
0,1901,91.2
1,1904,91.4
2,1908,91.5
3,1912,92.9
4,1916,93.3
5,1920,92.4
6,1924,91.2
7,1928,91.2
8,1932,92.0
9,1936,92.3
10,1940,91.8
11,1944,92.3
12,1948,90.7
13,1952,91.2
14,1956,92.6
15,1960,91.1
16,1964,90.8
17,1968,90.3
18,1972,90.9
19,1976,91.1
20,1980,90.9
21,1984,90.4
22,1988,89.7
23,1992,89.8
24,1996,89.9
25,2000,88.9
26,2004,89.9
27,2008,87.6
28,2012,86.7
29,2016,83.2
