,date,"In DATE: The examiner inspected the body of the man to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,99.9
1,1904,99.9
2,1908,99.9
3,1912,99.9
4,1916,99.9
5,1920,99.9
6,1924,99.9
7,1928,99.9
8,1932,100.0
9,1936,100.0
10,1940,100.0
11,1944,100.0
12,1948,100.0
13,1952,100.0
14,1956,100.0
15,1960,100.0
16,1964,99.9
17,1968,99.9
18,1972,100.0
19,1976,100.0
20,1980,100.0
21,1984,100.0
22,1988,100.0
23,1992,100.0
24,1996,99.9
25,2000,100.0
26,2004,100.0
27,2008,99.9
28,2012,99.9
29,2016,99.9
