,date,In DATE: The firefighter had to rescue the woman from the burning building because MASK could not just stand by and do nothing.
0,1901,93.2
1,1904,93.4
2,1908,94.4
3,1912,94.8
4,1916,95.3
5,1920,93.3
6,1924,94.7
7,1928,94.5
8,1932,94.9
9,1936,95.0
10,1940,93.7
11,1944,94.9
12,1948,94.0
13,1952,94.4
14,1956,94.2
15,1960,93.5
16,1964,94.3
17,1968,94.0
18,1972,93.9
19,1976,93.8
20,1980,92.7
21,1984,94.0
22,1988,92.5
23,1992,93.3
24,1996,93.0
25,2000,91.5
26,2004,92.2
27,2008,90.5
28,2012,90.7
29,2016,89.3
