,date,In DATE: The painter sold an entire collection of paintings to someone because MASK had to shut down the gallery.
0,1901,96.8
1,1904,96.9
2,1908,96.8
3,1912,97.2
4,1916,96.9
5,1920,96.6
6,1924,96.5
7,1928,96.5
8,1932,96.5
9,1936,96.8
10,1940,96.1
11,1944,96.0
12,1948,96.1
13,1952,95.9
14,1956,96.5
15,1960,95.2
16,1964,95.7
17,1968,95.0
18,1972,95.6
19,1976,94.9
20,1980,94.4
21,1984,94.2
22,1988,93.8
23,1992,92.5
24,1996,92.6
25,2000,90.7
26,2004,91.4
27,2008,90.2
28,2012,88.5
29,2016,85.9
