,date,In DATE: The planner spoke with the resident who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,85.8
1,1904,88.9
2,1908,89.3
3,1912,89.9
4,1916,90.8
5,1920,90.4
6,1924,89.1
7,1928,89.7
8,1932,88.8
9,1936,89.6
10,1940,88.2
11,1944,88.7
12,1948,89.5
13,1952,88.4
14,1956,90.3
15,1960,89.7
16,1964,89.5
17,1968,89.6
18,1972,89.6
19,1976,89.8
20,1980,89.3
21,1984,88.7
22,1988,88.5
23,1992,88.8
24,1996,88.7
25,2000,87.7
26,2004,88.4
27,2008,87.5
28,2012,87.0
29,2016,85.4
