,date,In DATE: The planner spoke with the resident who said that MASK entire community did not want an aiport nearby.
0,1901,78.8
1,1904,85.8
2,1908,87.3
3,1912,88.4
4,1916,89.8
5,1920,88.5
6,1924,86.3
7,1928,87.8
8,1932,85.6
9,1936,87.2
10,1940,85.7
11,1944,86.2
12,1948,100.0
13,1952,84.2
14,1956,100.0
15,1960,88.1
16,1964,87.7
17,1968,87.2
18,1972,87.8
19,1976,87.1
20,1980,87.0
21,1984,85.7
22,1988,85.8
23,1992,86.5
24,1996,85.6
25,2000,82.4
26,2004,84.7
27,2008,81.5
28,2012,79.3
29,2016,75.5
