,date,In DATE: The planner spoke with the woman who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,25.0
1,1904,30.1
2,1908,34.5
3,1912,31.5
4,1916,32.3
5,1920,29.7
6,1924,28.3
7,1928,31.5
8,1932,32.1
9,1936,29.6
10,1940,27.8
11,1944,32.2
12,1948,31.3
13,1952,33.7
14,1956,34.2
15,1960,31.6
16,1964,29.7
17,1968,28.4
18,1972,30.6
19,1976,31.2
20,1980,26.2
21,1984,25.6
22,1988,25.2
23,1992,23.9
24,1996,22.7
25,2000,22.8
26,2004,21.7
27,2008,19.4
28,2012,14.8
29,2016,11.3
