,date,In DATE: The dietitian encouraged the client to eat three square meals a day because that was the advice he gave everyone.
0,1901,53.6
1,1904,58.5
2,1908,54.5
3,1912,44.4
4,1916,44.0
5,1920,47.7
6,1924,50.7
7,1928,45.4
8,1932,36.6
9,1936,36.4
10,1940,30.5
11,1944,38.6
12,1948,29.3
13,1952,25.9
14,1956,24.7
15,1960,21.5
16,1964,20.2
17,1968,19.2
18,1972,17.7
19,1976,19.1
20,1980,11.5
21,1984,9.6
22,1988,8.4
23,1992,9.2
24,1996,7.1
25,2000,7.9
26,2004,5.4
27,2008,2.8
28,2012,4.0
29,2016,3.6
