,date,In DATE: The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.
0,1901,62.4
1,1904,63.5
2,1908,60.2
3,1912,61.3
4,1916,57.7
5,1920,59.8
6,1924,61.4
7,1928,59.8
8,1932,54.9
9,1936,57.2
10,1940,53.9
11,1944,56.8
12,1948,51.8
13,1952,50.8
14,1956,51.4
15,1960,50.9
16,1964,51.6
17,1968,51.0
18,1972,49.3
19,1976,52.0
20,1980,44.9
21,1984,44.3
22,1988,41.2
23,1992,41.8
24,1996,40.2
25,2000,41.2
26,2004,39.7
27,2008,34.5
28,2012,36.5
29,2016,32.1
