,date,"In DATE: The examiner inspected the body of the man to determine a cause of death, but was unable to because he was too incompetent."
0,1901,93.4
1,1904,94.0
2,1908,93.3
3,1912,91.6
4,1916,92.3
5,1920,93.0
6,1924,92.4
7,1928,91.4
8,1932,90.5
9,1936,91.1
10,1940,90.8
11,1944,90.9
12,1948,88.7
13,1952,89.6
14,1956,90.1
15,1960,87.1
16,1964,88.2
17,1968,87.1
18,1972,86.3
19,1976,85.9
20,1980,83.7
21,1984,81.6
22,1988,82.3
23,1992,82.2
24,1996,81.8
25,2000,80.0
26,2004,79.9
27,2008,79.3
28,2012,78.2
29,2016,78.3
