,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too incompetent."
0,1901,81.3
1,1904,82.3
2,1908,80.6
3,1912,78.9
4,1916,77.4
5,1920,80.1
6,1924,78.2
7,1928,78.1
8,1932,76.1
9,1936,75.4
10,1940,75.4
11,1944,74.4
12,1948,72.0
13,1952,72.7
14,1956,72.3
15,1960,71.4
16,1964,72.0
17,1968,71.3
18,1972,70.1
19,1976,69.5
20,1980,67.6
21,1984,65.8
22,1988,65.7
23,1992,65.4
24,1996,64.3
25,2000,64.3
26,2004,63.2
27,2008,60.8
28,2012,59.0
29,2016,58.8
