,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,67.4
1,1904,69.0
2,1908,66.7
3,1912,65.9
4,1916,66.7
5,1920,67.4
6,1924,65.0
7,1928,66.7
8,1932,65.9
9,1936,65.9
10,1940,65.9
11,1944,65.9
12,1948,63.6
13,1952,63.4
14,1956,63.4
15,1960,60.9
16,1964,62.5
17,1968,61.9
18,1972,61.0
19,1976,61.0
20,1980,59.0
21,1984,57.1
22,1988,57.1
23,1992,55.9
24,1996,54.3
25,2000,52.9
26,2004,54.5
27,2008,50.0
28,2012,48.4
29,2016,48.3
