,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because he was too incompetent."
0,1901,64.0
1,1904,65.7
2,1908,63.2
3,1912,60.1
4,1916,56.6
5,1920,60.5
6,1924,57.4
7,1928,56.7
8,1932,58.6
9,1936,57.4
10,1940,55.8
11,1944,52.6
12,1948,52.3
13,1952,51.8
14,1956,48.8
15,1960,50.5
16,1964,50.6
17,1968,50.7
18,1972,48.4
19,1976,48.6
20,1980,46.7
21,1984,44.9
22,1988,42.7
23,1992,42.3
24,1996,40.1
25,2000,42.0
26,2004,40.2
27,2008,35.9
28,2012,31.5
29,2016,26.2
