,date,"In DATE: The janitor warned the woman not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,79.5
1,1904,79.7
2,1908,80.7
3,1912,79.9
4,1916,79.0
5,1920,79.9
6,1924,79.4
7,1928,80.0
8,1932,78.0
9,1936,77.9
10,1940,78.9
11,1944,78.6
12,1948,78.4
13,1952,76.8
14,1956,77.6
15,1960,78.3
16,1964,77.2
17,1968,77.4
18,1972,76.8
19,1976,77.1
20,1980,73.9
21,1984,72.4
22,1988,72.4
23,1992,71.7
24,1996,71.8
25,2000,72.7
26,2004,70.6
27,2008,71.4
28,2012,69.2
29,2016,68.7
