,date,"In DATE: The machinist gave the man a laser cutter demonstration, but said only he could operate it."
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,100.0
8,1932,100.0
9,1936,100.0
10,1940,100.0
11,1944,100.0
12,1948,100.0
13,1952,100.0
14,1956,100.0
15,1960,100.0
16,1964,100.0
17,1968,100.0
18,1972,98.7
19,1976,98.8
20,1980,98.6
21,1984,98.4
22,1988,98.4
23,1992,98.3
24,1996,98.2
25,2000,98.2
26,2004,98.3
27,2008,98.2
28,2012,98.2
29,2016,97.4
