,date,"In DATE: The machinist gave the man a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,100.0
8,1932,100.0
9,1936,100.0
10,1940,100.0
11,1944,100.0
12,1948,100.0
13,1952,100.0
14,1956,100.0
15,1960,100.0
16,1964,100.0
17,1968,99.7
18,1972,99.7
19,1976,99.7
20,1980,99.7
21,1984,99.7
22,1988,99.7
23,1992,99.7
24,1996,99.7
25,2000,99.6
26,2004,99.7
27,2008,99.6
28,2012,99.6
29,2016,99.5
