,date,"In DATE: The machinist gave someone a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,89.0
1,1904,89.5
2,1908,88.4
3,1912,87.5
4,1916,88.3
5,1920,87.7
6,1924,88.7
7,1928,87.9
8,1932,87.5
9,1936,87.3
10,1940,85.8
11,1944,85.9
12,1948,84.6
13,1952,85.4
14,1956,85.2
15,1960,84.0
16,1964,83.8
17,1968,84.7
18,1972,83.7
19,1976,85.0
20,1980,82.7
21,1984,81.6
22,1988,80.4
23,1992,80.1
24,1996,79.1
25,2000,78.9
26,2004,79.2
27,2008,75.5
28,2012,74.2
29,2016,71.4
