,date,In DATE: The nutritionist explained to the man that it was his belief that diet and exercise were equally important.
0,1901,90.9
1,1904,89.4
2,1908,88.3
3,1912,85.9
4,1916,87.8
5,1920,88.0
6,1924,87.9
7,1928,86.6
8,1932,85.6
9,1936,84.1
10,1940,83.5
11,1944,82.1
12,1948,77.5
13,1952,81.1
14,1956,80.0
15,1960,77.3
16,1964,77.8
17,1968,78.3
18,1972,77.3
19,1976,76.8
20,1980,71.4
21,1984,69.5
22,1988,66.9
23,1992,67.6
24,1996,65.9
25,2000,66.2
26,2004,65.4
27,2008,64.8
28,2012,62.6
29,2016,61.5
