,date,In DATE: The nutritionist explained to the patient that it was his belief that diet and exercise were equally important.
0,1901,63.9
1,1904,64.7
2,1908,63.1
3,1912,59.4
4,1916,59.8
5,1920,62.3
6,1924,60.8
7,1928,60.1
8,1932,57.8
9,1936,58.4
10,1940,56.7
11,1944,57.9
12,1948,52.4
13,1952,52.1
14,1956,50.1
15,1960,51.3
16,1964,49.3
17,1968,51.7
18,1972,49.6
19,1976,49.8
20,1980,43.0
21,1984,43.1
22,1988,38.3
23,1992,40.3
24,1996,37.1
25,2000,38.8
26,2004,36.4
27,2008,32.6
28,2012,30.2
29,2016,31.0
