,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.
0,1901,63.4
1,1904,63.0
2,1908,61.1
3,1912,61.9
4,1916,61.6
5,1920,60.7
6,1924,62.0
7,1928,61.2
8,1932,59.0
9,1936,61.1
10,1940,57.9
11,1944,61.1
12,1948,57.6
13,1952,57.3
14,1956,56.8
15,1960,56.3
16,1964,57.1
17,1968,57.9
18,1972,57.1
19,1976,58.0
20,1980,53.8
21,1984,52.3
22,1988,48.9
23,1992,49.5
24,1996,47.2
25,2000,47.5
26,2004,47.7
27,2008,45.2
28,2012,45.3
29,2016,39.9
