,date,In DATE: The nutritionist explained to the woman that it was his belief that diet and exercise were equally important.
0,1901,45.8
1,1904,48.4
2,1908,47.1
3,1912,38.8
4,1916,39.8
5,1920,43.9
6,1924,42.5
7,1928,42.3
8,1932,41.1
9,1936,42.1
10,1940,40.6
11,1944,38.8
12,1948,35.4
13,1952,35.9
14,1956,34.6
15,1960,37.2
16,1964,37.6
17,1968,38.5
18,1972,38.5
19,1976,36.9
20,1980,30.2
21,1984,24.5
22,1988,24.8
23,1992,29.7
24,1996,26.5
25,2000,28.8
26,2004,28.0
27,2008,24.1
28,2012,22.3
29,2016,20.0
