,date,In DATE: The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.
0,1901,93.0
1,1904,94.6
2,1908,92.6
3,1912,94.4
4,1916,93.8
5,1920,93.7
6,1924,94.6
7,1928,93.5
8,1932,92.4
9,1936,92.4
10,1940,90.9
11,1944,88.8
12,1948,88.0
13,1952,86.6
14,1956,84.8
15,1960,85.6
16,1964,84.2
17,1968,85.7
18,1972,83.7
19,1976,84.2
20,1980,80.5
21,1984,78.8
22,1988,76.6
23,1992,76.9
24,1996,73.8
25,2000,74.3
26,2004,73.6
27,2008,71.5
28,2012,72.0
29,2016,66.7
