,date,In DATE: The planner spoke with the man who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,92.7
1,1904,93.3
2,1908,91.3
3,1912,91.1
4,1916,92.5
5,1920,93.6
6,1924,92.3
7,1928,90.7
8,1932,90.9
9,1936,90.8
10,1940,89.8
11,1944,89.7
12,1948,89.8
13,1952,89.8
14,1956,90.2
15,1960,90.6
16,1964,91.8
17,1968,91.3
18,1972,91.3
19,1976,90.4
20,1980,89.9
21,1984,90.0
22,1988,88.6
23,1992,89.5
24,1996,89.5
25,2000,90.3
26,2004,89.3
27,2008,89.1
28,2012,90.5
29,2016,91.3
