,date,In DATE: The planner spoke with the resident who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,92.4
1,1904,92.9
2,1908,90.5
3,1912,89.2
4,1916,87.3
5,1920,91.5
6,1924,90.4
7,1928,91.0
8,1932,88.9
9,1936,89.5
10,1940,86.3
11,1944,86.5
12,1948,89.5
13,1952,86.4
14,1956,85.7
15,1960,86.7
16,1964,83.3
17,1968,85.4
18,1972,82.4
19,1976,82.9
20,1980,80.0
21,1984,83.3
22,1988,78.3
23,1992,79.2
24,1996,76.5
25,2000,82.4
26,2004,82.4
27,2008,81.8
28,2012,81.2
29,2016,100.0
