,date,In DATE: The planner spoke with someone who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,89.1
1,1904,88.7
2,1908,88.5
3,1912,86.5
4,1916,85.1
5,1920,88.4
6,1924,87.3
7,1928,86.3
8,1932,85.4
9,1936,84.6
10,1940,83.3
11,1944,82.1
12,1948,83.9
13,1952,83.8
14,1956,83.9
15,1960,84.3
16,1964,83.6
17,1968,82.9
18,1972,83.1
19,1976,81.7
20,1980,81.2
21,1984,81.2
22,1988,77.5
23,1992,78.7
24,1996,78.6
25,2000,79.4
26,2004,77.8
27,2008,76.7
28,2012,76.3
29,2016,75.9
