,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,67.5
1,1904,69.5
2,1908,67.6
3,1912,65.8
4,1916,66.8
5,1920,68.0
6,1924,64.9
7,1928,67.3
8,1932,65.9
9,1936,65.1
10,1940,65.2
11,1944,65.5
12,1948,63.5
13,1952,63.2
14,1956,63.3
15,1960,61.5
16,1964,62.5
17,1968,61.4
18,1972,60.8
19,1976,60.1
20,1980,58.3
21,1984,57.8
22,1988,56.4
23,1992,55.9
24,1996,55.0
25,2000,53.9
26,2004,53.8
27,2008,50.9
28,2012,49.1
29,2016,48.7
