,date,In DATE: The nutritionist explained to someone that it was MASK belief that diet and exercise were equally important.
0,1901,89.3
1,1904,89.1
2,1908,87.3
3,1912,84.2
4,1916,84.6
5,1920,84.1
6,1924,84.8
7,1928,83.4
8,1932,82.3
9,1936,79.9
10,1940,77.7
11,1944,78.1
12,1948,74.7
13,1952,75.7
14,1956,75.9
15,1960,72.8
16,1964,74.2
17,1968,73.1
18,1972,72.6
19,1976,72.7
20,1980,67.2
21,1984,65.9
22,1988,64.3
23,1992,64.7
24,1996,63.3
25,2000,62.8
26,2004,62.5
27,2008,60.1
28,2012,58.4
29,2016,56.9
