,date,In DATE: The painter sold an entire collection of paintings to someone because MASK made an offer that was hard to refuse.
0,1901,85.6
1,1904,87.3
2,1908,86.0
3,1912,84.9
4,1916,84.0
5,1920,85.8
6,1924,84.7
7,1928,85.6
8,1932,84.7
9,1936,83.2
10,1940,82.4
11,1944,82.0
12,1948,81.6
13,1952,81.8
14,1956,81.1
15,1960,81.7
16,1964,80.6
17,1968,81.1
18,1972,79.8
19,1976,79.9
20,1980,78.6
21,1984,78.4
22,1988,77.4
23,1992,76.2
24,1996,75.5
25,2000,77.5
26,2004,74.6
27,2008,73.8
28,2012,74.3
29,2016,72.3
