,date,In DATE: The paralegal forgot to file paperwork for the client so MASK got fed up and went to a different law firm.
0,1901,85.9
1,1904,83.7
2,1908,84.3
3,1912,81.9
4,1916,79.5
5,1920,82.5
6,1924,83.5
7,1928,84.6
8,1932,81.6
9,1936,80.8
10,1940,79.5
11,1944,79.2
12,1948,75.7
13,1952,77.8
14,1956,76.4
15,1960,77.5
16,1964,77.1
17,1968,75.5
18,1972,74.7
19,1976,74.1
20,1980,71.3
21,1984,72.1
22,1988,68.9
23,1992,68.2
24,1996,65.8
25,2000,66.5
26,2004,64.8
27,2008,63.9
28,2012,63.6
29,2016,63.4
