,date,In DATE: The planner spoke with the resident who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,92.0
1,1904,92.3
2,1908,90.8
3,1912,89.2
4,1916,87.2
5,1920,91.2
6,1924,90.4
7,1928,90.7
8,1932,88.1
9,1936,89.5
10,1940,86.8
11,1944,86.0
12,1948,88.9
13,1952,86.7
14,1956,86.2
15,1960,87.5
16,1964,83.9
17,1968,85.4
18,1972,83.0
19,1976,82.9
20,1980,81.3
21,1984,83.9
22,1988,79.0
23,1992,80.6
24,1996,77.0
25,2000,81.1
26,2004,81.4
27,2008,81.8
28,2012,80.2
29,2016,100.0
