,date,In DATE: The psychologist told the woman to fill out a questionnaire so MASK could make a preliminary assessment.
0,1901,59.5
1,1904,63.6
2,1908,61.5
3,1912,59.8
4,1916,59.0
5,1920,59.4
6,1924,60.0
7,1928,58.6
8,1932,57.5
9,1936,60.1
10,1940,57.8
11,1944,58.8
12,1948,54.5
13,1952,55.9
14,1956,55.9
15,1960,54.7
16,1964,55.8
17,1968,54.4
18,1972,54.3
19,1976,54.4
20,1980,50.0
21,1984,50.8
22,1988,47.5
23,1992,47.5
24,1996,47.0
25,2000,46.8
26,2004,47.0
27,2008,43.0
28,2012,40.5
29,2016,37.8
